Date,Open,High,Low,Close,Adj Close,Volume
2021-08-03,0.691360,0.700027,0.663412,0.693332,0.693332,89607608
2021-08-04,0.694755,0.729716,0.680712,0.725731,0.725731,120924681
2021-08-05,0.727912,0.740325,0.694014,0.735736,0.735736,150706958
2021-08-06,0.735241,0.759762,0.717348,0.750002,0.750002,145309828
2021-08-07,0.750101,0.779307,0.737743,0.770549,0.770549,174646307
2021-08-08,0.771889,0.772728,0.709525,0.719177,0.719177,131812881
2021-08-09,0.719432,0.766076,0.695682,0.753815,0.753815,147624561
2021-08-10,0.753065,0.850329,0.739665,0.828038,0.828038,411828666
2021-08-11,0.827661,0.862382,0.808233,0.823656,0.823656,273127795
2021-08-12,0.823054,0.850041,0.763886,0.800826,0.800826,222856127
2021-08-13,0.800549,0.843585,0.786472,0.843182,0.843182,143965358
2021-08-14,0.842519,0.854082,0.806483,0.838696,0.838696,142760236
2021-08-15,0.838537,0.869075,0.800245,0.869075,0.869075,136448642
2021-08-16,0.869182,0.915545,0.845305,0.851151,0.851151,216828464
2021-08-17,0.847523,0.875737,0.795999,0.799115,0.799115,191567578
2021-08-18,0.798659,0.813049,0.755344,0.777532,0.777532,142365559
2021-08-19,0.776434,0.819008,0.757737,0.818239,0.818239,117079590
2021-08-20,0.819352,0.850805,0.802733,0.843449,0.843449,131838838
2021-08-21,0.843705,0.943009,0.832907,0.874056,0.874056,294898588
2021-08-22,0.875287,0.909456,0.847281,0.884209,0.884209,163178646
2021-08-23,0.884288,0.926201,0.875083,0.926201,0.926201,185900497
2021-08-24,0.927379,0.968604,0.834035,0.851882,0.851882,281632041
2021-08-25,0.852979,0.956970,0.835290,0.954014,0.954014,320664398
2021-08-26,0.956440,0.991982,0.862255,0.893729,0.893729,416830078
2021-08-27,0.891799,0.935851,0.854122,0.930220,0.930220,216386313
2021-08-28,0.930429,0.943489,0.915046,0.923223,0.923223,149170119
2021-08-29,0.923372,1.048357,0.881740,1.021127,1.021127,412526285
2021-08-30,1.024464,1.105802,0.939247,0.946863,0.946863,447380027
2021-08-31,0.946579,0.981714,0.922707,0.943173,0.943173,194824541
2021-09-01,0.943388,0.982980,0.918417,0.982482,0.982482,190492796
2021-09-02,0.981853,0.990127,0.953305,0.966875,0.966875,142459096
2021-09-03,0.966457,1.063115,0.944948,0.995571,0.995571,303816671
2021-09-04,0.994656,1.067730,0.991828,1.052638,1.052638,237153979
2021-09-05,1.054674,1.079428,1.021999,1.077622,1.077622,167335952
2021-09-06,1.078315,1.078315,1.010271,1.041990,1.041990,195347801
2021-09-07,1.043138,1.043138,0.739184,0.832562,0.832562,377247637
2021-09-08,0.832958,0.884347,0.758588,0.852844,0.852844,253472005
2021-09-09,0.837605,0.893983,0.833085,0.870631,0.870631,143878508
2021-09-10,0.873118,0.900397,0.795191,0.818382,0.818382,125652384
2021-09-11,0.817899,0.852203,0.814960,0.831418,0.831418,73240086
2021-09-12,0.833573,0.856155,0.815004,0.846124,0.846124,82645110
2021-09-13,0.847089,0.851992,0.766601,0.821233,0.821233,170796795
2021-09-14,0.820400,0.859679,0.811428,0.844335,0.844335,105426359
2021-09-15,0.844825,0.861796,0.829981,0.861608,0.861608,76679274
2021-09-16,0.861284,0.880537,0.828571,0.841202,0.841202,97040837
2021-09-17,0.842471,0.852893,0.806057,0.815505,0.815505,76400555
2021-09-18,0.815562,0.838227,0.807044,0.821918,0.821918,51565635
2021-09-19,0.822411,0.823391,0.789402,0.800125,0.800125,55312939
2021-09-20,0.800752,0.801313,0.670551,0.674206,0.674206,142239364
2021-09-21,0.679519,0.695483,0.602255,0.614583,0.614583,112403411
2021-09-22,0.613863,0.739810,0.601800,0.735463,0.735463,108797949
2021-09-23,0.735129,0.777612,0.705121,0.764349,0.764349,91738982
2021-09-24,0.765141,0.767304,0.644370,0.702174,0.702174,120305099
2021-09-25,0.702433,0.713358,0.666399,0.692848,0.692848,59216687
2021-09-26,0.693119,0.759377,0.659701,0.714016,0.714016,277207351
2021-09-27,0.715321,0.722242,0.662878,0.663634,0.663634,91525202
